32.0	21.0
8.0	23.0
33.0	10.0
25.0	26.0
28.0	12.0
13.0	17.0
20.0	31.0
6.0	13.0
10.0	23.0
2.0	30.0
22.0	31.0
23.0	20.0
33.0	23.0
23.0	6.0
7.0	20.0
21.0	10.0
20.0	26.0
25.0	12.0
24.0	26.0
17.0	7.0
34.0	20.0
20.0	33.0
12.0	19.0
4.0	26.0
11.0	28.0
23.0	26.0
17.0	30.0
18.0	2.0
20.0	17.0
5.0	15.0
22.0	16.0
10.0	13.0
29.0	15.0
28.0	25.0
23.0	23.0
14.0	26.0
13.0	23.0
28.0	20.0
22.0	12.0
23.0	4.0
10.0	31.0
17.0	23.0
27.0	20.0
33.0	14.0
12.0	18.0
13.0	13.0
25.0	22.0
12.0	25.0
30.0	19.0
11.0	7.0
16.0	20.0
10.0	10.0
31.0	19.0
33.0	23.0
14.0	16.0
30.0	12.0
26.0	20.0
29.0	16.0
18.0	24.0
23.0	30.0
6.0	6.0
17.0	33.0
10.0	26.0
18.0	22.0
13.0	7.0
6.0	21.0
30.0	13.0
15.0	7.0
21.0	12.0
28.0	24.0
27.0	29.0
31.0	6.0
23.0	17.0
26.0	4.0
30.0	25.0
23.0	33.0
10.0	17.0
26.0	23.0
26.0	30.0
20.0	10.0
7.0	17.0
20.0	23.0
18.0	7.0
28.0	17.0
33.0	17.0
9.0	29.0
25.0	21.0
3.0	13.0
18.0	31.0
8.0	2.0
22.0	28.0
27.0	16.0
25.0	16.0
23.0	16.0
32.0	8.0
17.0	26.0
7.0	12.0
14.0	10.0
4.0	10.0
25.0	31.0
7.0	24.0
4.0	30.0
16.0	9.0
32.0	15.0
20.0	30.0
17.0	24.0
25.0	24.0
6.0	22.0
26.0	21.0
14.0	24.0
13.0	26.0
19.0	33.0
13.0	14.0
20.0	20.0
7.0	7.0
27.0	21.0
27.0	31.0
24.0	32.0
30.0	4.0
32.0	20.0
17.0	22.0
15.0	18.0
4.0	20.0
12.0	27.0
20.0	8.0
10.0	10.0
13.0	32.0
32.0	22.0
4.0	13.0
29.0	21.0
8.0	31.0
5.0	22.0
7.0	17.0
7.0	33.0
12.0	25.0
22.0	15.0
21.0	24.0
13.0	30.0
31.0	25.0
24.0	19.0
31.0	20.0
13.0	13.0
17.0	17.0
8.0	11.0
13.0	22.0
23.0	19.0
30.0	20.0
17.0	4.0
10.0	20.0
30.0	18.0
10.0	17.0
29.0	1.0
28.0	23.0
15.0	25.0
26.0	25.0
15.0	24.0
19.0	16.0
26.0	0.0
7.0	33.0
26.0	20.0
4.0	4.0
13.0	33.0
34.0	10.0
23.0	10.0
2.0	12.0
7.0	10.0
33.0	19.0
33.0	23.0
22.0	2.0
6.0	16.0
25.0	10.0
13.0	4.0
2.0	11.0
19.0	16.0
28.0	10.0
20.0	20.0
10.0	20.0
11.0	1.0
8.0	20.0
26.0	7.0
30.0	17.0
15.0	29.0
14.0	34.0
13.0	10.0
23.0	7.0
17.0	6.0
6.0	20.0
22.0	9.0
24.0	23.0
30.0	26.0
16.0	24.0
8.0	7.0
9.0	16.0
32.0	13.0
30.0	15.0
25.0	28.0
27.0	22.0
23.0	30.0
12.0	31.0
7.0	23.0
10.0	7.0
31.0	11.0
23.0	12.0
29.0	28.0
5.0	20.0
5.0	10.0
8.0	4.0
6.0	14.0
26.0	4.0
4.0	30.0
8.0	13.0
21.0	16.0
30.0	7.0
25.0	7.0
33.0	20.0
17.0	10.0
26.0	17.0
14.0	18.0
34.0	13.0
4.0	7.0
28.0	18.0
21.0	28.0
17.0	13.0
14.0	17.0
17.0	20.0
24.0	31.0
30.0	23.0
4.0	23.0
23.0	13.0
15.0	34.0
10.0	33.0
19.0	33.0
9.0	20.0
29.0	10.0
20.0	28.0
26.0	17.0
26.0	7.0
33.0	17.0
33.0	13.0
27.0	30.0
17.0	12.0
20.0	13.0
11.0	11.0
4.0	17.0
11.0	8.0
32.0	21.0
8.0	23.0
33.0	10.0
25.0	26.0
28.0	12.0
13.0	17.0
20.0	31.0
6.0	13.0
10.0	23.0
2.0	30.0
22.0	31.0
23.0	20.0
33.0	23.0
23.0	6.0
7.0	20.0
21.0	10.0
20.0	26.0
25.0	12.0
24.0	26.0
17.0	7.0
34.0	20.0
20.0	33.0
12.0	19.0
4.0	26.0
11.0	28.0
23.0	26.0
17.0	30.0
18.0	2.0
20.0	17.0
5.0	15.0
22.0	16.0
10.0	13.0
29.0	15.0
28.0	25.0
23.0	23.0
14.0	26.0
13.0	23.0
28.0	20.0
22.0	12.0
23.0	4.0
10.0	31.0
17.0	23.0
27.0	20.0
33.0	14.0
12.0	18.0
13.0	13.0
25.0	22.0
12.0	25.0
30.0	19.0
11.0	7.0
16.0	20.0
10.0	10.0
31.0	19.0
33.0	23.0
14.0	16.0
30.0	12.0
26.0	20.0
29.0	16.0
18.0	24.0
23.0	30.0
6.0	6.0
17.0	33.0
10.0	26.0
18.0	22.0
13.0	7.0
6.0	21.0
30.0	13.0
15.0	7.0
21.0	12.0
28.0	24.0
27.0	29.0
31.0	6.0
23.0	17.0
26.0	4.0
30.0	25.0
23.0	33.0
10.0	17.0
26.0	23.0
26.0	30.0
20.0	10.0
7.0	17.0
20.0	23.0
18.0	7.0
28.0	17.0
33.0	17.0
9.0	29.0
25.0	21.0
3.0	13.0
18.0	31.0
8.0	2.0
